locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMANJED_01970	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
JKMANJED_01971	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
JKMANJED_01972	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
JKMANJED_01973	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
JKMANJED_01974	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
JKMANJED_01975	CDS	651	zinT		COG3443	Metal-binding protein ZinT
JKMANJED_01976	CDS	531	yodB		COG3038	Cytochrome b561 
JKMANJED_01977	tRNA	90				tRNA-Ser(cga)
JKMANJED_01978	CDS	798	mtfA		COG3228	Protein MtfA
JKMANJED_01979	tRNA	76				tRNA-Asn(gtt)
JKMANJED_01980	CDS	150				hypothetical protein
JKMANJED_01981	CDS	7104				hypothetical protein
JKMANJED_01982	CDS	705				hypothetical protein
JKMANJED_01983	CDS	1317	abaF			Fosfomycin resistance protein AbaF
JKMANJED_01984	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
JKMANJED_01985	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
JKMANJED_01986	tRNA	76				tRNA-Asn(gtt)
JKMANJED_01987	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
JKMANJED_01988	tRNA	76				tRNA-Asn(gtt)
JKMANJED_01989	CDS	951	cbl			HTH-type transcriptional regulator cbl
JKMANJED_01990	CDS	918	gltC_1			HTH-type transcriptional regulator GltC
JKMANJED_01991	tRNA	76				tRNA-Asn(gtt)
JKMANJED_01992	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
JKMANJED_01993	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
JKMANJED_01994	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
JKMANJED_01995	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
JKMANJED_01996	CDS	981			COG3039	IS5 family transposase IS5
JKMANJED_01997	CDS	393	btuB_1			Vitamin B12 transporter BtuB
JKMANJED_01998	CDS	906				IS3 family transposase IS2
JKMANJED_01999	CDS	366				hypothetical protein
JKMANJED_02000	CDS	711				hypothetical protein
JKMANJED_02001	CDS	3120	flu		COG3468	Antigen 43
JKMANJED_02002	CDS	1533	yeeR			Inner membrane protein YeeR
JKMANJED_02003	CDS	447				hypothetical protein
JKMANJED_02004	CDS	222				hypothetical protein
JKMANJED_02005	CDS	369	cbeA			Cytoskeleton bundling-enhancing antitoxin CbeA
JKMANJED_02006	CDS	375	cbtA			Cytoskeleton-binding toxin CbtA
JKMANJED_02007	CDS	195	yeeW			Protein YeeW
JKMANJED_02008	CDS	330				hypothetical protein
JKMANJED_02009	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
JKMANJED_02010	CDS	474	sbmC_1		COG3449	DNA gyrase inhibitor
JKMANJED_02011	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
JKMANJED_02012	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
JKMANJED_02013	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
JKMANJED_02014	CDS	1005				hypothetical protein
JKMANJED_02015	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
JKMANJED_02016	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
JKMANJED_02017	CDS	825	yeeZ		COG0451	Protein YeeZ
JKMANJED_02018	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
JKMANJED_02019	CDS	252	yefM		COG2161	Antitoxin YefM
JKMANJED_02020	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
JKMANJED_02021	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
JKMANJED_02022	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
JKMANJED_02023	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
JKMANJED_02024	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
JKMANJED_02025	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
JKMANJED_02026	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
JKMANJED_02027	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
JKMANJED_02028	CDS	981	wzzB		COG3765	Chain length determinant protein
JKMANJED_02029	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
JKMANJED_02030	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
JKMANJED_02031	CDS	282	wbbL_1	2.4.1.-		Rhamnosyltransferase WbbL
JKMANJED_02032	CDS	981			COG3039	IS5 family transposase IS5
JKMANJED_02033	CDS	474	wbbL_2	2.4.1.-		Rhamnosyltransferase WbbL
JKMANJED_02034	CDS	1119				hypothetical protein
JKMANJED_02035	CDS	591	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JKMANJED_02036	CDS	993	wbbI	2.4.1.-		Beta-1,6-galactofuranosyltransferase WbbI
JKMANJED_02037	CDS	1167				hypothetical protein
JKMANJED_02038	CDS	1104	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
JKMANJED_02039	CDS	1248	rfbX		COG2244	Putative O-antigen transporter
JKMANJED_02040	CDS	558	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
JKMANJED_02041	CDS	882	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
JKMANJED_02042	CDS	900	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
JKMANJED_02043	CDS	1086	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
JKMANJED_02044	CDS	894	galF	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
JKMANJED_02045	CDS	1395				hypothetical protein
JKMANJED_02046	CDS	1221	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKMANJED_02047	CDS	1281				hypothetical protein
JKMANJED_02048	CDS	1479	wzxC		COG2244	Lipopolysaccharide biosynthesis protein WzxC
JKMANJED_02049	CDS	1395	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
JKMANJED_02050	CDS	1371	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
JKMANJED_02051	CDS	1437	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
JKMANJED_02052	CDS	1224				hypothetical protein
JKMANJED_02053	CDS	483	gmm	3.6.1.-	COG0494	GDP-mannose mannosyl hydrolase
JKMANJED_02054	CDS	966	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
JKMANJED_02055	CDS	1122	gmd	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
JKMANJED_02056	CDS	549	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JKMANJED_02057	CDS	747				hypothetical protein
JKMANJED_02058	CDS	1218				hypothetical protein
JKMANJED_02059	CDS	1218				hypothetical protein
JKMANJED_02060	CDS	489	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
JKMANJED_02061	CDS	840				hypothetical protein
JKMANJED_02062	CDS	2163	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
JKMANJED_02063	CDS	444	wzb	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Wzb
JKMANJED_02064	CDS	1140				hypothetical protein
JKMANJED_02065	CDS	1584				hypothetical protein
JKMANJED_02066	CDS	1854				hypothetical protein
JKMANJED_02067	CDS	582	dcd	3.5.4.13	COG0717	dCTP deaminase
JKMANJED_02068	CDS	642	udk	2.7.1.48	COG0572	Uridine kinase
JKMANJED_02069	CDS	3318	dgcE	2.7.7.65	COG2202	putative diguanylate cyclase DgcE
JKMANJED_02070	CDS	849	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase 2
JKMANJED_02071	CDS	1353	dnaK_2			Chaperone protein DnaK
JKMANJED_02072	CDS	1947	yegI	2.7.-.-	COG4248	Protein kinase YegI
JKMANJED_02073	CDS	462				hypothetical protein
JKMANJED_02074	CDS	681	pphC	3.1.3.16		Serine/threonine-protein phosphatase 3
JKMANJED_02075	CDS	660				hypothetical protein
JKMANJED_02076	CDS	147				hypothetical protein
JKMANJED_02077	CDS	1248	mdtA			Multidrug resistance protein MdtA
JKMANJED_02078	CDS	3123	mdtB		COG0841	Multidrug resistance protein MdtB
JKMANJED_02079	CDS	3078	mdtC		COG0841	Multidrug resistance protein MdtC
JKMANJED_02080	CDS	1416	mdtD			Putative multidrug resistance protein MdtD
JKMANJED_02081	CDS	1404	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
JKMANJED_02082	CDS	723	baeR		COG0745	Transcriptional regulatory protein BaeR
JKMANJED_02083	CDS	333				hypothetical protein
JKMANJED_02084	CDS	1362	rlhA_2		COG0826	23S rRNA 5-hydroxycytidine synthase
JKMANJED_02085	CDS	219				hypothetical protein
JKMANJED_02086	CDS	318				hypothetical protein
JKMANJED_02087	CDS	900	yegS	2.7.1.-	COG1597	Lipid kinase YegS
JKMANJED_02088	CDS	447	srlR_2		COG1349	Glucitol operon repressor
JKMANJED_02089	CDS	300				IS3 family transposase ISEc17
JKMANJED_02090	CDS	867				IS3 family transposase IS3
JKMANJED_02091	CDS	339	lacR			Lactose phosphotransferase system repressor
JKMANJED_02092	CDS	1041	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
JKMANJED_02093	CDS	441	gatC_1		COG3775	PTS system galactitol-specific EIIC component
JKMANJED_02094	CDS	936	gatC_2		COG3775	PTS system galactitol-specific EIIC component
JKMANJED_02095	CDS	285	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
JKMANJED_02096	CDS	453	gatA		COG1762	PTS system galactitol-specific EIIA component
JKMANJED_02097	CDS	1263	gatZ		COG4573	D-tagatose-1,6-bisphosphate aldolase subunit GatZ
JKMANJED_02098	CDS	855	gatY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit GatY
JKMANJED_02099	CDS	1053	fbaB	4.1.2.13	COG1830	Fructose-bisphosphate aldolase class 1
JKMANJED_02100	CDS	1278	yegT			Putative nucleoside transporter YegT
JKMANJED_02101	CDS	1005	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
JKMANJED_02102	CDS	966	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
JKMANJED_02103	CDS	747	nagR		COG2188	HTH-type transcriptional repressor NagR
JKMANJED_02104	CDS	819				hypothetical protein
JKMANJED_02105	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
JKMANJED_02106	CDS	789	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
JKMANJED_02107	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
JKMANJED_02108	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
JKMANJED_02109	CDS	339	rcnB		COG5455	Nickel/cobalt homeostasis protein RcnB
JKMANJED_02110	CDS	1035	yehA			putative fimbrial-like protein YehA
JKMANJED_02111	CDS	2481	yehB		COG3188	Outer membrane usher protein YehB
JKMANJED_02112	CDS	675	yehC		COG3121	putative fimbrial chaperone YehC
JKMANJED_02113	CDS	543	yehD			putative fimbrial-like protein YehD
JKMANJED_02114	CDS	282				hypothetical protein
JKMANJED_02115	CDS	1110	apbC		COG0489	Iron-sulfur cluster carrier protein
JKMANJED_02116	CDS	2034	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
JKMANJED_02117	CDS	825	yehF			Protein YehF
JKMANJED_02118	CDS	1938				hypothetical protein
JKMANJED_02119	CDS	960				hypothetical protein
JKMANJED_02120	CDS	3633				hypothetical protein
JKMANJED_02121	CDS	318				hypothetical protein
JKMANJED_02122	CDS	1089	yehL		COG0714	putative protein YehL
JKMANJED_02123	CDS	2280				hypothetical protein
JKMANJED_02124	CDS	1137				hypothetical protein
JKMANJED_02125	CDS	1845				hypothetical protein
JKMANJED_02126	CDS	462	yehR		COG4808	putative lipoprotein YehR
JKMANJED_02127	CDS	471				hypothetical protein
JKMANJED_02128	CDS	720	btsR		COG3279	Transcriptional regulatory protein BtsR
JKMANJED_02129	CDS	1686	btsS	2.7.13.3	COG3275	Sensor histidine kinase BtsS
JKMANJED_02130	CDS	732	mlrA		COG0789	HTH-type transcriptional regulator MlrA
JKMANJED_02131	CDS	108				hypothetical protein
JKMANJED_02132	CDS	732	yehW		COG1174	Glycine betaine uptake system permease protein YehW
JKMANJED_02133	CDS	927	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
JKMANJED_02134	CDS	1158	yehY		COG1174	Glycine betaine uptake system permease protein YehY
JKMANJED_02135	CDS	918	yehZ		COG1732	Glycine betaine-binding protein YehZ
JKMANJED_02136	CDS	2268		3.2.1.-		Beta-xylosidase
JKMANJED_02137	CDS	1716	dld	1.1.5.12	COG0277	Quinone-dependent D-lactate dehydrogenase
JKMANJED_02138	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
JKMANJED_02139	CDS	588	yohC			Inner membrane protein YohC
JKMANJED_02140	CDS	579	yohD		COG0586	Inner membrane protein YohD
JKMANJED_02141	CDS	762	yohF	1.-.-.-	COG1028	putative oxidoreductase YohF
JKMANJED_02142	CDS	1191	ttgI			Toluene efflux pump outer membrane protein TtgI
JKMANJED_02143	CDS	948	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
JKMANJED_02144	CDS	399				hypothetical protein
JKMANJED_02145	CDS	696	yohK		COG1346	Inner membrane protein YohK
JKMANJED_02146	CDS	885	cdd	3.5.4.5	COG0295	Cytidine deaminase
JKMANJED_02147	CDS	720				hypothetical protein
JKMANJED_02148	CDS	240				hypothetical protein
JKMANJED_02149	CDS	1239	preT	1.3.1.1	COG0493	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT
JKMANJED_02150	CDS	1236	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
JKMANJED_02151	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
JKMANJED_02152	CDS	1521	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
JKMANJED_02153	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
JKMANJED_02154	CDS	1041	galS		COG1609	HTH-type transcriptional regulator GalS
JKMANJED_02155	CDS	1158				hypothetical protein
JKMANJED_02156	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
JKMANJED_02157	CDS	837	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
JKMANJED_02158	CDS	1992	cirA		COG4771	Colicin I receptor
JKMANJED_02159	CDS	1470	lysP		COG0833	Lysine-specific permease
JKMANJED_02160	CDS	882	cysL		COG0583	HTH-type transcriptional regulator CysL
JKMANJED_02161	CDS	1050				hypothetical protein
JKMANJED_02162	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
JKMANJED_02163	CDS	1089	psuK_1	2.7.1.83	COG0524	Pseudouridine kinase
JKMANJED_02164	CDS	1251	nupX		COG1972	Putative nucleoside permease NupX
JKMANJED_02165	CDS	942	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
JKMANJED_02166	CDS	699	yeiL		COG0664	Regulatory protein YeiL
JKMANJED_02167	CDS	1251	psuT		COG1972	Putative pseudouridine transporter
JKMANJED_02168	CDS	939	psuG	4.2.1.70	COG2313	Pseudouridine-5'-phosphate glycosidase
JKMANJED_02169	CDS	942	psuK_2	2.7.1.83	COG0524	Pseudouridine kinase
JKMANJED_02170	CDS	1692	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
JKMANJED_02171	CDS	939	lacC	2.7.1.144		Tagatose-6-phosphate kinase
JKMANJED_02172	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
JKMANJED_02173	CDS	1182	setB			Sugar efflux transporter B
JKMANJED_02174	CDS	255				hypothetical protein
JKMANJED_02175	CDS	573	yeiP		COG0231	Elongation factor P-like protein
JKMANJED_02176	CDS	1467	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
JKMANJED_02177	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
JKMANJED_02178	CDS	714	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
JKMANJED_02179	CDS	567	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
JKMANJED_02180	CDS	1557	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
JKMANJED_02181	CDS	1815				hypothetical protein
JKMANJED_02182	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
JKMANJED_02183	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
JKMANJED_02184	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
JKMANJED_02185	CDS	345	yejG			putative protein YejG
JKMANJED_02186	CDS	1191	bcr			Bicyclomycin resistance protein
JKMANJED_02187	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
JKMANJED_02188	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
JKMANJED_02189	CDS	285	rplY		COG1825	50S ribosomal protein L25
JKMANJED_02190	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
JKMANJED_02191	CDS	228				hypothetical protein
JKMANJED_02192	CDS	1761	yejM		COG3083	Inner membrane protein YejM
JKMANJED_02193	tRNA	77				tRNA-Pro(ggg)
JKMANJED_02194	CDS	2511				putative autotransporter
JKMANJED_02195	CDS	981			COG3039	IS5 family transposase IS5
JKMANJED_02196	CDS	648	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
JKMANJED_02197	CDS	1053	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
JKMANJED_02198	CDS	558	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
JKMANJED_02199	CDS	1944	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
JKMANJED_02200	CDS	480	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
JKMANJED_02201	CDS	210	ccmD		COG3114	Heme exporter protein D
JKMANJED_02202	CDS	738	ccmC		COG0755	Heme exporter protein C
JKMANJED_02203	CDS	663	ccmB		COG2386	Heme exporter protein B
JKMANJED_02204	CDS	618	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
JKMANJED_02205	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
JKMANJED_02206	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
JKMANJED_02207	CDS	864	napH		COG0348	Ferredoxin-type protein NapH
JKMANJED_02208	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
JKMANJED_02209	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
JKMANJED_02210	CDS	264	napD		COG3062	Chaperone NapD
JKMANJED_02211	CDS	495	napF		COG1145	Ferredoxin-type protein NapF
JKMANJED_02212	CDS	165				hypothetical protein
JKMANJED_02213	CDS	489	eco		COG4574	Ecotin
JKMANJED_02214	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
JKMANJED_02215	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
JKMANJED_02216	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
JKMANJED_02217	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
JKMANJED_02218	CDS	1056	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
JKMANJED_02219	CDS	1104	ompC_2		COG3203	Outer membrane porin C
JKMANJED_02220	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
JKMANJED_02221	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
JKMANJED_02222	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
JKMANJED_02223	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
JKMANJED_02224	CDS	1386	atoC		COG2204	Regulatory protein AtoC
JKMANJED_02225	CDS	663	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
JKMANJED_02226	CDS	651	atoA	2.8.3.8	COG2057	Acetate CoA-transferase subunit beta
JKMANJED_02227	CDS	1323	atoE		COG2031	Putative short-chain fatty acid transporter
JKMANJED_02228	CDS	1185	atoB	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
JKMANJED_02229	CDS	777				hypothetical protein
JKMANJED_02230	CDS	1650				hypothetical protein
JKMANJED_02231	CDS	486				hypothetical protein
JKMANJED_02232	CDS	3894				hypothetical protein
JKMANJED_02233	CDS	624				hypothetical protein
JKMANJED_02234	CDS	1689				hypothetical protein
JKMANJED_02235	CDS	2628	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JKMANJED_02236	CDS	723	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
JKMANJED_02237	CDS	3705	yfaL		COG3468	putative autotransporter YfaL
JKMANJED_02238	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
JKMANJED_02239	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
JKMANJED_02240	CDS	255				hypothetical protein
JKMANJED_02241	CDS	651	inaA			Protein InaA
JKMANJED_02242	CDS	207				hypothetical protein
JKMANJED_02243	CDS	1077	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
JKMANJED_02244	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
JKMANJED_02245	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
JKMANJED_02246	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
JKMANJED_02247	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
JKMANJED_02248	CDS	900				ISNCY family transposase ISSen7
JKMANJED_02249	CDS	186				hypothetical protein
JKMANJED_02250	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
JKMANJED_02251	CDS	1290	rhmT			Inner membrane transport protein RhmT
JKMANJED_02252	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
JKMANJED_02253	CDS	783	rhmR		COG1414	putative HTH-type transcriptional regulator RhmR
JKMANJED_02254	CDS	1203	pncC_2	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
JKMANJED_02255	CDS	543				hypothetical protein
JKMANJED_02256	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
JKMANJED_02257	CDS	603	ais	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
JKMANJED_02258	CDS	1158	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
JKMANJED_02259	CDS	969	arnC_2	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JKMANJED_02260	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
JKMANJED_02261	CDS	891	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
JKMANJED_02262	CDS	1653	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
JKMANJED_02263	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
JKMANJED_02264	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
JKMANJED_02265	CDS	267	pmrD			Signal transduction protein PmrD
JKMANJED_02266	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
JKMANJED_02267	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
JKMANJED_02268	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
JKMANJED_02269	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
JKMANJED_02270	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
JKMANJED_02271	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
JKMANJED_02272	CDS	306	elaB		COG4575	Protein ElaB
JKMANJED_02273	CDS	462	elaA		COG2153	Protein ElaA
JKMANJED_02274	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
JKMANJED_02275	CDS	1209	elaD	3.4.22.-		Protease ElaD
JKMANJED_02276	CDS	1728				hypothetical protein
JKMANJED_02277	CDS	972				hypothetical protein
JKMANJED_02278	CDS	504	yfbM			Protein YfbM
JKMANJED_02279	CDS	717				hypothetical protein
JKMANJED_02280	CDS	423				hypothetical protein
JKMANJED_02281	CDS	849				hypothetical protein
JKMANJED_02282	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
JKMANJED_02283	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
JKMANJED_02284	CDS	1842	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
JKMANJED_02285	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
JKMANJED_02286	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
JKMANJED_02287	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
JKMANJED_02288	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
JKMANJED_02289	CDS	2727	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
JKMANJED_02290	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
JKMANJED_02291	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
JKMANJED_02292	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
JKMANJED_02293	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
JKMANJED_02294	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
JKMANJED_02295	CDS	165				hypothetical protein
JKMANJED_02296	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
JKMANJED_02297	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
